Diện Tích,Giá,Hướng ban công,Hướng nhà,Mặt tiền,Pháp lý,Số phòng ngủ,Số toilet,Số tầng,Đường vào,Địa chỉ
Địa m2,180 tỷ,None,None,None,None,None,None,None,None,"Dự án Lancaster Nguyễn Trãi, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

64 m2,27 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

77 m2,26 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,None

70 m2,8.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,2 phòng,None,None,None,None

43.5 m2,2.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,None,None,None

82 m2,31.95 tỷ,Tây - Nam,Tây - Nam,None,None,2 phòng,2 phòng,None,None,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

80 m2,12.5 tỷ,Đông - Bắc,Đông - Bắc,None,None,2 phòng,2 phòng,None,None,None

Địa m2,250 tỷ,None,None,None,None,None,None,None,None,"Dự án The Grand Manhattan, Đường Cô Giang, Phường Cô Giang, Quận 1, Hồ Chí Minh"

69.13 m2,22 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,4 phòng,3 phòng,None,None,None

133 m2,7 tỷ,None,None,7 m,None,None,None,8 tầng,None,None

120 m2,6.9 tỷ,None,None,None,None,3 phòng,2 phòng,None,None,None

87 m2,19 tỷ,None,None,None,None,3 phòng,2 phòng,None,None,None

212 m2,36.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

68 m2,16 tỷ,None,None,None,None,None,None,None,None,"Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh"

59 m2,7.8 tỷ,Nam,Bắc,None,Văn bản thỏa thuận,2 phòng,1 phòng,None,None,None

68 m2,16 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,None

Địa m2,Loại tỷ,None,None,None,None,None,4 phòng,4 tầng,None,"Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Hồ Chí Minh"

60 m2,27.5 tỷ,None,None,None,None,15 phòng,None,6 tầng,None,None

140 m2,60 tỷ,None,None,None,Có sổ.,5 phòng,5 phòng,4 tầng,None,None

140 m2,58.5 tỷ,None,None,6.5 m,None,7 phòng,7 phòng,8 tầng,None,None

139 m2,59 tỷ,None,None,6.4 m,None,7 phòng,6 phòng,8 tầng,None,None

139 m2,55 tỷ,None,None,6.6 m,None,7 phòng,7 phòng,8 tầng,None,None

58 m2,21 tỷ,None,None,None,Sổ hồng công chứng ngay pháp lý sạch rõ ràng,2 phòng,2 phòng,2 tầng,None,None

68 m2,30 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,4 tầng,None,None

360 m2,146 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,10 tầng,None,None

92 m2,24 tỷ,None,None,None,None,6 phòng,7 phòng,4 tầng,8 m,"Đường Trần Quốc Thảo, Quận 1, Hồ Chí Minh"

96 m2,9 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

270 m2,100 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,6 phòng,8 phòng,3 tầng,10 m,None

60 m2,8 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,4 phòng,None,2 tầng,None,None

65 m2,10 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,12 phòng,6 phòng,4 tầng,None,None

58 m2,15.2 tỷ,None,None,8 m,Sổ đỏ/ Sổ hồng,5 phòng,5 phòng,4 tầng,8 m,None

119 m2,26 tỷ,None,None,None,None,None,None,5 tầng,None,None

123 m2,29.9 tỷ,None,None,None,None,3 phòng,None,None,None,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

168 m2,53.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,6 tầng,None,None

80 m2,45 tỷ,None,None,None,Sổ đỏ/ sổ hồng.,None,None,None,None,None

212 m2,140 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,3 tầng,None,None

126 m2,22 tỷ,None,None,None,None,None,None,4 tầng,None,None

160 m2,33 tỷ,None,None,10 m,Sổ đỏ/ Sổ hồng,None,None,6 tầng,None,None

150 m2,51 tỷ,None,None,9 m,Sổ đỏ/ Sổ hồng,None,None,7 tầng,None,None

110 m2,18 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

312.3 m2,320 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,5 phòng,None,None,None,None

180 m2,42 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,None,None,None

222 m2,65 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

200 m2,37 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,3 tầng,None,"Đường Nguyễn Thị Minh Khai, Phường Bến Thành, Quận 1, Hồ Chí Minh"

60 m2,21 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,3 tầng,None,None

136.5 m2,69 tỷ,None,None,6.5 m,None,None,None,2 tầng,25 m,None

63 m2,12 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,None

14 m2,2.7 tỷ,None,None,3.5 m,Sổ đỏ/ Sổ hồng.,2 phòng,2 phòng,3 tầng,None,None

89.98 m2,23 tỷ,Đông - Bắc,Đông - Bắc,5 m,Sổ hồng hợp pháp,3 phòng,None,2 tầng,5 m,None

68 m2,14.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,3 tầng,6 m,None

54 m2,1.32 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,1 tầng,None,None

72 m2,26 tỷ,None,None,3.8 m,None,None,None,5 tầng,None,"Đường Lê Lai, Phường Bến Thành, Quận 1, Hồ Chí Minh"

89.3 m2,26 tỷ,None,None,6.8 m,SỔ HỒNG CHÍNH CHỦ,None,None,8 tầng,None,"Đường Nguyễn Du, Phường Bến Thành, Quận 1, Hồ Chí Minh"

110.4 m2,39 tỷ,None,None,4.8 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,6 tầng,None,None

158.4 m2,42 tỷ,None,None,6.6 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,7 tầng,None,None

80 m2,22 tỷ,None,None,4 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,6 tầng,None,None

90 m2,20 tỷ,None,None,5 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,5 tầng,None,None

144 m2,28 tỷ,None,None,6.7 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,5 tầng,None,None

100 m2,49 tỷ,None,None,4 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,8 tầng,None,None

85.3 m2,22 tỷ,None,None,4 m,Sổ hồng chính chủ,None,None,6 tầng,None,None

130 m2,32.8 tỷ,None,None,5 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,5 tầng,None,"Đường Thạch Thị Thanh, Phường Tân Định, Quận 1, Hồ Chí Minh"

162 m2,55 tỷ,None,None,6.2 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,7 tầng,None,None

170 m2,42 tỷ,None,None,10 m,Sổ hồng chính chủ. Công chứng trong ngày.,None,None,3 tầng,None,None

204 m2,39 tỷ,None,None,12 m,Sổ hồng chính chủ. Công chứng trong ngày.,32 phòng,None,6 tầng,None,None

50.4 m2,33 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

205 m2,16.9 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

120 m2,30 tỷ,None,None,8 m,None,None,None,5 tầng,None,None

80 m2,36 tỷ,Đông - Nam,Đông - Nam,None,Sổ đỏ/ Sổ hồng,6 phòng,4 phòng,4 tầng,60 m,None

180 m2,72 tỷ,None,Đông - Nam,None,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,3 tầng,6 m,None

60 m2,14.2 tỷ,None,None,6 m,Sổ đỏ/ Sổ hồng,5 phòng,5 phòng,5 tầng,6 m,None

47 m2,5.5 tỷ,Bắc,Nam,None,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,None,None,None

73 m2,17 tỷ,Đông - Bắc,Đông - Bắc,None,Sổ đỏ/ Sổ hồng,8 phòng,8 phòng,5 tầng,None,None

146 m2,78 tỷ,None,Tây - Nam,15 m,Sổ đỏ/ Sổ hồng,5 phòng,4 phòng,3 tầng,15 m,None

48 m2,11.8 tỷ,None,None,None,None,None,None,None,None,"Phố Đặng Dung, Phường Tân Định, Quận 1, Hồ Chí Minh"

104 m2,24 tỷ,None,Tây - Nam,None,None,10 phòng,None,None,None,None

143 m2,70 tỷ,None,None,None,None,8 phòng,8 phòng,8 tầng,None,None

121 m2,35 tỷ,None,None,None,None,15 phòng,16 phòng,6 tầng,None,None

110 m2,30 tỷ,None,None,8.2 m,None,None,None,None,None,None

96.6 m2,21.9 tỷ,None,None,None,Có sổ.,None,None,None,None,None

104 m2,10.8 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,12 phòng,6 phòng,4 tầng,None,None

50.5 m2,28 tỷ,None,None,None,None,8 phòng,5 phòng,5 tầng,None,None

84 m2,22.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

68 m2,10.9 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

92 m2,14.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

44.8 m2,9.9 tỷ,None,None,3.2 m,Có sổ.,5 phòng,5 phòng,3 tầng,None,None

88 m2,10.7 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

80 m2,9 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

40 m2,7.499 tỷ,Đông - Nam,Đông - Nam,3.3 m,Sổ đỏ/ Sổ hồng.,4 phòng,3 phòng,3 tầng,12 m,None

68 m2,11 tỷ,None,None,None,None,3 phòng,None,None,None,"The Marq , 29B, Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh"

118 m2,17 tỷ,None,None,None,None,3 phòng,2 phòng,None,None,None

48 m2,12.5 tỷ,None,None,4 m,Sổ hồng riêng,None,None,5 tầng,None,None

204 m2,37 tỷ,None,None,12 m,Sổ hồng riêng chính chủ,None,None,7 tầng,None,None

77 m2,16.5 tỷ,None,None,5.5 m,None,None,None,4 tầng,None,None

140 m2,71 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

90 m2,32.99 tỷ,Đông - Bắc,Đông - Bắc,4.5 m,None,5 phòng,5 phòng,4 tầng,20 m,None

62 m2,12.8 tỷ,None,None,3.7 m,None,5 phòng,6 phòng,4 tầng,6 m,None

60 m2,32 tỷ,None,Tây - Bắc,4 m,None,4 phòng,5 phòng,3 tầng,20 m,None

58 m2,33.5 tỷ,Đông - Nam,Đông - Nam,3.9 m,None,8 phòng,9 phòng,None,30 m,None

53 m2,35.999 tỷ,Đông - Nam,Đông - Nam,4 m,None,9 phòng,10 phòng,5 tầng,14 m,None

Địa m2,350 tỷ,None,None,None,Đang xây dựng,1 phòng,1 phòng,None,None,"Grand Marina Saigon, 02, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

92 m2,140 tỷ,None,None,None,None,None,None,None,None,"Đường Calmette, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh"

153 m2,160 tỷ,None,None,None,Sổ đỏ chính chủ.,None,None,3 tầng,None,None

189 m2,99 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

321 m2,300 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

75 m2,18 tỷ,None,None,None,Sổ hồng,None,None,None,None,"Đường Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh"

64 m2,1.55 tỷ,None,None,None,None,None,None,None,None,None

73 m2,14.6 tỷ,Tây - Nam,Đông - Bắc,None,Hợp đồng mua bán,2 phòng,2 phòng,None,None,None

77 m2,20.5 tỷ,None,None,6 m,Sổ đỏ/ Sổ hồng,6 phòng,7 phòng,6 tầng,8 m,None

128 m2,26 tỷ,Đông - Nam,Tây - Bắc,None,None,3 phòng,2 phòng,None,None,None

1157.2 m2,380 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

36 m2,17.8 tỷ,None,None,4 m,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,5 tầng,None,None

390 m2,250 tỷ,None,None,14.5 m,None,None,None,None,None,None

84 m2,24 tỷ,None,None,None,"Pháp lý sạch, công chứng nhanh gọn",4 phòng,None,None,None,None

88 m2,20.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,9 phòng,None,5 tầng,None,None

79 m2,1.55 tỷ,None,None,None,None,2 phòng,None,None,None,None

69 m2,25 tỷ,Tây - Nam,Tây - Nam,4 m,Sổ đỏ/ Sổ hồng,9 phòng,8 phòng,6 tầng,6 m,None

160 m2,45 tỷ,None,None,8 m,Sổ đỏ/ Sổ hồng,None,None,None,None,None

55 m2,1.35 tỷ,None,None,None,None,3 phòng,2 phòng,None,None,None

157 m2,30 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

70 m2,18 tỷ,None,None,None,None,5 phòng,5 phòng,None,None,"Vinhomes Golden River Ba Son, số 2, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

68 m2,7 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,None

81 m2,26 tỷ,None,None,None,None,None,None,None,None,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh"

105 m2,5 tỷ,None,Đông - Nam,None,None,2 phòng,None,None,None,None

120 m2,9 tỷ,None,None,None,None,3 phòng,2 phòng,None,None,None

138 m2,6.7 tỷ,None,None,None,Có sổ.,None,None,10 tầng,None,"Đường Sương Nguyệt Ánh, Phường Bến Thành, Quận 1, Hồ Chí Minh"

88 m2,30 tỷ,None,None,None,None,4 phòng,4 phòng,4 tầng,None,None

113.99 m2,170 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,9 tầng,None,None

150 m2,44 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,4 phòng,2 phòng,1 tầng,None,None

132 m2,40 tỷ,None,None,6 m,Sổ đỏ/ Sổ hồng.,10 phòng,10 phòng,5 tầng,None,None

200 m2,65 tỷ,None,None,10 m,None,None,None,5 tầng,20 m,None

150 m2,78 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,5 phòng,5 phòng,5 tầng,None,None

119 m2,55 tỷ,None,None,None,None,2 phòng,4 phòng,3 tầng,None,None

320 m2,300 tỷ,None,None,10 m,None,None,None,None,20 m,None

52 m2,11.8 tỷ,None,None,4 m,None,2 phòng,2 phòng,1 tầng,5 m,None

227 m2,150 tỷ,None,None,8 m,None,None,None,5 tầng,20 m,None

135 m2,110 tỷ,None,None,9 m,None,None,None,5 tầng,20 m,None

129.6 m2,15 tỷ,None,None,None,None,None,None,4 tầng,None,None

75 m2,29 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

84 m2,35 tỷ,None,Tây - Nam,None,None,None,None,None,None,None

Địa m2,Loại tỷ,None,None,None,None,2 phòng,3 phòng,4 tầng,5 m,"Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Hồ Chí Minh"

71 m2,30 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,6 phòng,7 phòng,5 tầng,None,None

146 m2,55 tỷ,None,None,None,"Giấy tờ pháp lý tư nhân, công chứng ngay",None,None,None,None,None

42 m2,40 tỷ,Tây - Bắc,Tây - Bắc,3.2 m,None,6 phòng,6 phòng,5 tầng,20 m,None

112.5 m2,44 tỷ,None,None,None,None,None,None,5 tầng,None,None

100 m2,19 tỷ,None,None,5 m,"Pháp lý rõ ràng, chính chủ",None,None,None,None,None

72 m2,12.3 tỷ,None,None,4.5 m,None,None,None,4 tầng,None,None

80 m2,29 tỷ,None,None,None,None,None,None,4 tầng,None,None

68.2 m2,8.5 tỷ,Đông - Bắc,Đông - Bắc,None,None,2 phòng,2 phòng,None,None,None

71.9 m2,8 tỷ,Đông - Bắc,Đông - Bắc,None,None,2 phòng,2 phòng,None,None,None

75 m2,28.8 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Hồ Chí Minh"

52 m2,13.9 tỷ,Tây - Nam,Tây - Nam,5 m,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,3 tầng,12 m,None

50 m2,23 tỷ,Tây,Tây,4.2 m,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,3 tầng,10 m,None

172 m2,122 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Phố Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh"

80 m2,17 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,9 phòng,None,None,None,None

22 m2,9.2 tỷ,Đông - Bắc,Đông - Bắc,6 m,Sổ hồng chính chủ.,8 phòng,9 phòng,5 tầng,4 m,"8A, Đường Thái Văn Lung, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

92 m2,31.6 tỷ,None,None,4.5 m,Sổ đỏ/ Sổ hồng,10 phòng,11 phòng,7 tầng,10 m,None

75.6 m2,50 tỷ,Đông - Bắc,Đông - Bắc,4.2 m,Sổ đỏ/ Sổ hồng,16 phòng,16 phòng,None,40 m,None

50 m2,23.5 tỷ,Đông - Bắc,Đông - Bắc,6 m,Sổ hồng chính chủ.,8 phòng,8 phòng,6 tầng,10 m,None

60 m2,23.5 tỷ,None,None,4.5 m,Sổ đỏ/ Sổ hồng,10 phòng,11 phòng,7 tầng,10 m,"Đường Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh"

75.6 m2,50 tỷ,Đông - Bắc,Đông - Bắc,6 m,Sổ hồng chính chủ.,8 phòng,8 phòng,6 tầng,10 m,"Đường Thái Văn Lung, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

110 m2,49 tỷ,Đông - Bắc,Đông - Bắc,6 m,Sổ đỏ/ Sổ hồng,6 phòng,6 phòng,3 tầng,6 m,None

76 m2,17.5 tỷ,Tây - Bắc,Đông - Nam,None,Hợp đồng mua bán,2 phòng,2 phòng,None,None,None

92.4 m2,40 tỷ,None,None,4.2 m,None,None,None,4 tầng,None,None

119 m2,54.8 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Đường Nam Kỳ Khởi Nghĩa, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh"

84 m2,39 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

73.1 m2,35 tỷ,None,None,4.3 m,Sổ đỏ/ Sổ hồng,None,6 phòng,4 tầng,None,None

93.6 m2,39 tỷ,None,None,None,Sổ hồng,None,None,None,None,None

77 m2,18 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,None

121 m2,21 tỷ,None,Tây - Nam,None,Sổ đỏ/ Sổ hồng,None,None,None,14 m,None

80 m2,32 tỷ,None,None,None,None,12 phòng,None,None,None,None

240 m2,100 tỷ,None,None,16 m,None,None,None,None,None,None

240 m2,100 tỷ,None,None,16 m,None,None,None,None,None,None

316 m2,275 tỷ,None,None,None,None,26 phòng,27 phòng,13 tầng,None,None

54.8 m2,28 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,None

110 m2,5.65 tỷ,None,None,None,None,None,None,None,None,"Đường Bến Chương Dương, Phường Cầu Kho, Quận 1, Hồ Chí Minh"

Địa m2,230 tỷ,None,None,None,None,3 phòng,2 phòng,None,None,"Dự án The Grand Manhattan, Đường Cô Giang, Phường Cô Giang, Quận 1, Hồ Chí Minh"

84 m2,31 tỷ,None,None,None,Sổ hồng,None,None,None,None,None

105 m2,5.7 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,None,None,None

90 m2,29.9 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,6 phòng,None,4 tầng,None,None

64 m2,42 tỷ,None,None,None,Sổ hồng,None,None,None,None,None

74.9 m2,16.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,4 tầng,None,None

55 m2,14.2 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,5 tầng,None,None

77 m2,17.35 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,10 phòng,None,None,None,None

93 m2,24 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,4 phòng,5 tầng,None,"Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Hồ Chí Minh"

110 m2,69 tỷ,None,None,7.9 m,Sổ đỏ/ Sổ hồng,None,None,3 tầng,None,None

88 m2,34.5 tỷ,None,None,4.2 m,Sổ đỏ/ Sổ hồng,None,None,None,None,None

105 m2,49.8 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,"Đường Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"

119 m2,75 tỷ,None,None,7 m,None,None,None,3 tầng,None,None

225 m2,150 tỷ,None,None,4.5 m,None,None,None,None,None,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"

185 m2,39 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

216 m2,39 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,5 tầng,None,"Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Hồ Chí Minh"

100 m2,45 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

96.2 m2,27.8 tỷ,None,None,None,Sổ đỏ/ Sổ hồng.,None,None,3 tầng,None,None

137 m2,39 tỷ,None,None,4 m,Sổ đỏ/ Sổ hồng,None,None,5 tầng,None,"Đường Calmette, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh"

110 m2,29.9 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

46 m2,8.3 tỷ,Đông,Đông,None,Hợp đồng mua bán,1 phòng,1 phòng,None,None,None

77.4 m2,43.9 tỷ,None,None,5 m,None,8 phòng,4 phòng,5 tầng,16 m,"Đường Trần Nhật Duật, Phường Tân Định, Quận 1, Hồ Chí Minh"

142 m2,62.5 tỷ,None,None,6 m,None,12 phòng,6 phòng,6 tầng,16 m,None

64 m2,27.9 tỷ,None,None,4 m,None,6 phòng,3 phòng,3 tầng,18 m,None

45 m2,4.1 tỷ,None,None,None,None,None,2 phòng,2 tầng,None,None

80 m2,45 tỷ,None,None,None,None,None,None,None,None,"Phố Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh"

200 m2,39 tỷ,None,None,None,None,None,None,7 tầng,None,"Đường Đinh Tiên Hoàng, Phường Tân Định, Quận 1, Hồ Chí Minh"

74 m2,20 tỷ,None,None,None,None,None,None,None,None,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh"

180 m2,89.5 tỷ,None,None,9 m,None,10 phòng,10 phòng,6 tầng,30 m,None

140 m2,62 tỷ,None,None,4.2 m,None,12 phòng,7 phòng,7 tầng,30 m,"Đường Nguyễn Văn Giai, Phường Đa Kao, Quận 1, Hồ Chí Minh"

187 m2,89 tỷ,None,None,None,None,None,None,1 tầng,None,None

68 m2,26 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,4 tầng,None,None

